Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    45 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    46 | ....  ... ..  .. .... 936 | ....  ... ..  .. .... 936 | ....  ... ..  .. .... 936 | .... .. ... . |
|    47 | 0685 (G-2 9F) .. .... 93C | 0752 (A-2 A1) .. .... 93C | 0837 (B-2 A3) .. .... 93C | .... .. ... . |
|    48 | ....  ... ..  .. .... 942 | ....  ... ..  .. .... 942 | ....  ... ..  .. .... 942 | .... .. ... . |
|    49 | ....  ... ..  .. .... 948 | ....  ... ..  .. .... 948 | ....  ... ..  .. .... 948 | .... .. ... . |
|    50 | 03E1 (A#1 96) .. .... ... | 045A (C-2 98) .. .... ... | 04E2 (D-2 9A) .. .... ... | .... .. ... . |
|    51 | ....  ... ..  .. .... 94E | ....  ... ..  .. .... 94E | ....  ... ..  .. .... 94E | .... .. ... . |
|    52 | ....  ... ..  .. .... 954 | ....  ... ..  .. .... 954 | ....  ... ..  .. .... 954 | .... .. ... . |
|    53 | 04E2 (D-2 9A) .. .... 95A | 057C (E-2 9C) .. .... 95A | 0628 (F#2 9E) .. .... 95A | .... .. ... . |
|    54 | ....  ... ..  .. .... 960 | ....  ... ..  .. .... 960 | ....  ... ..  .. .... 960 | .... .. ... . |
|    55 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | 0685 (G-2 9F) .. .... 966 | 0752 (A-2 A1) .. .... 966 | 0837 (B-2 A3) .. .... 966 | .... .. ... . |
|    57 | ....  ... ..  .. .... 96C | ....  ... ..  .. .... 96C | ....  ... ..  .. .... 96C | .... .. ... . |
|    58 | ....  ... ..  .. .... 972 | ....  ... ..  .. .... 972 | ....  ... ..  .. .... 972 | .... .. ... . |
|    59 | 03E1 (A#1 96) .. .... 978 | 045A (C-2 98) .. .... 978 | 04E2 (D-2 9A) .. .... 978 | .... .. ... . |
|    60 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    61 | ....  ... ..  .. .... 97E | ....  ... ..  .. .... 97E | ....  ... ..  .. .... 97E | .... .. ... . |
|    62 | 04E2 (D-2 9A) .. .... 984 | 057C (E-2 9C) .. .... 984 | 0628 (F#2 9E) .. .... 984 | .... .. ... . |
|    63 | ....  ... ..  .. .... 98A | ....  ... ..  .. .... 98A | ....  ... ..  .. .... 98A | .... .. ... . |
|    64 | ....  ... ..  .. .... 990 | ....  ... ..  .. .... 990 | ....  ... ..  .. .... 990 | .... .. ... . |
|    65 | 0685 (G-2 9F) .. .... ... | 0752 (A-2 A1) .. .... ... | 0837 (B-2 A3) .. .... ... | .... .. ... . |
|    66 | ....  ... ..  .. .... 996 | ....  ... ..  .. .... 996 | ....  ... ..  .. .... 996 | .... .. ... . |
|    67 | ....  ... ..  .. .... 99C | ....  ... ..  .. .... 99C | ....  ... ..  .. .... 99C | .... .. ... . |
|    68 | 03E1 (A#1 96) .. .... 9A2 | 045A (C-2 98) .. .... 9A2 | 04E2 (D-2 9A) .. .... 9A2 | .... .. ... . |
|    69 | ....  ... ..  .. .... 9A8 | ....  ... ..  .. .... 9A8 | ....  ... ..  .. .... 9A8 | .... .. ... . |
|    70 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    71 | 04E2 (D-2 9A) .. .... 9AE | 057C (E-2 9C) .. .... 9AE | 0628 (F#2 9E) .. .... 9AE | .... .. ... . |
|    72 | ....  ... ..  .. .... 9B4 | ....  ... ..  .. .... 9B4 | ....  ... ..  .. .... 9B4 | .... .. ... . |
|    73 | ....  ... ..  .. .... 9BA | ....  ... ..  .. .... 9BA | ....  ... ..  .. .... 9BA | .... .. ... . |
|    74 | 0685 (G-2 9F) .. .... 9C0 | 0752 (A-2 A1) .. .... 9C0 | 0837 (B-2 A3) .. .... 9C0 | .... .. ... . |
|    75 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... 9C6 | ....  ... ..  .. .... 9C6 | ....  ... ..  .. .... 9C6 | .... .. ... . |
