Load address: $C000 Init address: $C048 Play address: $C021
Calling initroutine with subtune 0
Calling playroutine for 400 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    44 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 832 | ....  ... ..  .. .... ... | .... .. ... . |
|    45 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 8B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    46 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 932 | ....  ... ..  .. .... ... | .... .. ... . |
|    47 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 9B2 | ....  ... ..  .. .... ... | .... .. ... . |
|    48 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... A32 | ....  ... ..  .. .... ... | .... .. ... . |
|    49 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... AB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    50 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... B32 | ....  ... ..  .. .... ... | .... .. ... . |
|    51 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... BB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    52 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... C32 | ....  ... ..  .. .... ... | .... .. ... . |
|    53 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... CB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    54 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... D32 | ....  ... ..  .. .... ... | .... .. ... . |
|    55 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... DB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... E32 | ....  ... ..  .. .... ... | .... .. ... . |
|    57 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... EB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    58 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... F32 | ....  ... ..  .. .... ... | .... .. ... . |
|    59 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... FB2 | ....  ... ..  .. .... ... | .... .. ... . |
|    60 | 3426 (G-5 C3) 81 .... ... | ....  ... ..  .. .... 032 | ....  ... ..  .. .... ... | .... .. ... . |
|    61 | 41B8 (B-5 C7) 15 .... ... | ....  ... ..  .. .... 0B2 | ....  ... ..  .. .... ... | .... .. ... . |
